letter,fruit,value,numbers_list,date
A,Apple,0.29,"74-23-25",23h:45m:35s 24-Mar-1988
A,Apple,-3.319,"66-25-9",09h:57m:31s 09-Apr-1978
B,Banana,-777.49,"46-11-40",12h:51m:43s 01-Oct-2023
B,,433.78,"86-66-90",14h:07m:35s 26-Jul-2015
C,Apple,588.78,"58-1-97",17h:15m:22s 01-Aug-2003
D,Orange,87881.06,"58-5-99",17h:42m:20s 25-Feb-2012
D,Peach,359.92,"87-21-72",00h:12m:44s 17-May-2008
D,Banana,-425.89,"1-73-4",11h:07m:57s 12-Dec-2012
D,Kiwi,667.92,"45-62-96",09h:16m:12s 28-Dec-1982
D,Strawberry,,"41-65-59",02h:37m:01s 03-Aug-1949
E,Banana,-79761.72,"45-50-64",13h:06m:51s 02-Apr-1955
