letter,fruit,value,numbers_list,date
A,Apple,0.29,74-23-25,1988-03-24 23:45:35
A,Apple,-3.319,66-25-9,1978-04-09 09:57:31
B,Banana,-777.49,46-11-40,2023-10-01 12:51:43
B,,433.78,86-66-90,2015-07-26 14:07:35
C,Apple,588.78,58-1-97,2003-08-01 17:15:22
D,Orange,87881.06,58-5-99,2012-02-25 17:42:20
D,Peach,359.92,87-21-72,2008-05-17 00:12:44
D,Banana,-425.89,1-73-4,2012-12-12 11:07:57
D,Kiwi,667.92,45-62-96,1982-12-28 09:16:12
D,Strawberry,,41-65-59,1949-08-03 02:37:01
E,Banana,-79761.72,45-50-64,1955-04-02 13:06:51
