Statistics
Master 2 in Centrale Marseille

"time","country","population","pop_clean","educ_years","salary","siblings","age_group","father_degree","mother_degree","size","gender","pets","sport","colour","show"
"2023/09/15 11:45:35 PM UTC+3","China","1.4 billion","1400000000","6","4500 ","0","23 - 27 years old","No diploma","No diploma","165","Man","dog, cat, rabbit","tennis","red","Jimmy Fallon"
"2023/09/16 9:57:31 AM UTC+3","China","1,400,000,000","1400000000","2","15000","0","23 - 27 years old","Licence","Licence","174","Man","dog,cat,bear","football","blue","WWE"
"2023/09/16 12:51:43 PM UTC+3","France","66 milions","66000000","5","4000","4","18 - 22 years old","Licence","Licence","175","Man","cat,dog,bird","Handball","violet","Invincible"
"2023/09/16 2:07:35 PM UTC+3","Armenia","2,8 million","2800000","5","10000","2","23 - 27 years old","Licence","Licence","163 cm","Woman","Dog, Turtle, Lion","Badminton","Purple","The Big Bang Theory"
"2023/09/16 5:15:22 PM UTC+3","Lebanon ","4 millions ","4000000","8","4500 ","1","31 - 34 years old","Licence","No diploma","1.81","Man","Dog,cat, Bird","Basketball ","Bleu","Families "
"2023/09/16 5:42:20 PM UTC+3","Iran ","85 millions ","85000000","7","7000","2","35 - 40 years old","French baccalaureate","Licence","181","Man","Dog, cat","Football ","Red","Friends"
"2023/09/17 12:12:44 AM UTC+3","Morocco","37,840,044","37840044","4","310000","5","18 - 22 years old","Licence","Licence","1,70 ","Woman","Dog,Hamster,rabbit","Horse riding","Green","Friends"
"2023/09/17 1:06:51 PM UTC+3","Lebanon","6 Million","6000000","5","10000","0","23 - 27 years old","No diploma","No diploma","154","Woman","cats, dogs, panda","hiking","green","friends "
"2023/09/17 1:31:23 PM UTC+3","china","1.4 billion","1400000000","6","4500","0","23 - 27 years old","No diploma","No diploma","1.80m","Man","dog, cat","basketball","black","I dont watch this kind of show"
"2023/09/18 9:02:32 AM UTC+3","Sweden ","10 million","10000000","4","5000","2","23 - 27 years old","Master or PhD","Licence","187","Man","Dog, dog, dog","Football","Green","Breaking Bad"
"2023/09/18 1:02:07 PM UTC+3","Sweden ","10 million","10000000","4","5000","2","23 - 27 years old","Master or PhD","Licence","187","Man","Dog, dog, dog","Football","Green","Breaking Bad"
"2023/09/24 8:59:13 PM UTC+3","france","68.000.000","68000000","10","5000000","1","35 - 40 years old","Master or PhD","Licence","1,78 (m)","Man","cat, rat, turtle","tenis","block","breaking bald"
