Member state,Date of admission,Original member,See also
Afghanistan[a],19 November 1946,,"On 1 December 2021, the nine-nation Credentials Committee of the General Assembly voted to defer a decision to allow the Taliban to represent Afghanistan at the UN.[18] On 15 February 2022, the UN released an updated list of member state officials with the names of Ghani administration officials replaced with the placeholder string ""..."" and a blank space in place of the ""Date of Appointment"" field. The titles corresponding to these placeholder names continue to use the designation ""Islamic Republic of Afghanistan"".[19][20] On 12 December 2022, the Credentials Committee again deferred the decision.[21]"
Albania,14 December 1955,,
Algeria,8 October 1962,,
Andorra,28 July 1993,,
Angola,1 December 1976,,
Antigua and Barbuda,11 November 1981,,
Argentina,24 October 1945,,
Armenia,2 March 1992,,Former member: Union of Soviet Socialist Republics (original member) and Armenia and the United Nations
Australia,1 November 1945,,Australia and the United Nations
Austria,14 December 1955,,
Azerbaijan,2 March 1992,,"Former member: Union of Soviet Socialist Republics (original member), and Azerbaijan and the United Nations"
Bahamas,18 September 1973,,
Bahrain,21 September 1971,,
Bangladesh,17 September 1974,,Bangladesh and the United Nations
Barbados,9 December 1966,,
Belarus,24 October 1945,,Former member: Byelorussian Soviet Socialist Republic
Belgium,27 December 1945,,
Belize,25 September 1981,,
Benin[b],20 September 1960,,
Bhutan,21 September 1971,,
Plurinational State of Bolivia[c],14 November 1945,,
Bosnia and Herzegovina,22 May 1992,,Former member: Yugoslavia (original member)
Botswana,17 October 1966,,
Brazil,24 October 1945,,Brazil and the United Nations
Brunei Darussalam,21 September 1984,,
Bulgaria,14 December 1955,,
Burkina Faso[d],20 September 1960,,
Burundi,18 September 1962,,
Cabo Verde[e],16 September 1975,,
Cambodia[f],14 December 1955,,
Cameroon[g],20 September 1960,,
Canada,9 November 1945,,Canada and the United Nations
Central African Republic[h],20 September 1960,,
Chad,20 September 1960,,
Chile,24 October 1945,,
China,24 October 1945,,Former member: Republic of China and China and the United Nations
Colombia,5 November 1945,,
Comoros,12 November 1975,,
Congo[i],20 September 1960,,
Costa Rica,2 November 1945,,Costa Rica and the United Nations
Côte d'Ivoire[j],20 September 1960,,
Croatia,22 May 1992,,Former member: Yugoslavia (original member)
Cuba,24 October 1945,,
Cyprus,20 September 1960,,
Czechia[k],19 January 1993,,Former member: Czechoslovakia (original member)
Democratic People's Republic of Korea,17 September 1991,,Korea and the United Nations
Democratic Republic of the Congo[l],20 September 1960,,
Denmark[m],24 October 1945,,
Djibouti,20 September 1977,,
Dominica,18 December 1978,,
Dominican Republic,24 October 1945,,
Ecuador,21 December 1945,,
Egypt,24 October 1945,,Former member: United Arab Republic
El Salvador,24 October 1945,,
Equatorial Guinea,12 November 1968,,
Eritrea,28 May 1993,,
Estonia,17 September 1991,,
Eswatini[n],24 September 1968,,
Ethiopia,13 November 1945,,
Fiji,13 October 1970,,Fiji and the United Nations
Finland,14 December 1955,,
France,24 October 1945,,France and the United Nations
Gabon,20 September 1960,,
Gambia,21 September 1965,,
Georgia,31 July 1992,,Former member: Union of Soviet Socialist Republics (original member)
Germany,18 September 1973,,Former member: German Democratic Republic and Germany and the United Nations
Ghana,8 March 1957,,
Greece,25 October 1945,,
Grenada,17 September 1974,,
Guatemala,21 November 1945,,
Guinea,12 December 1958,,
Guinea-Bissau,17 September 1974,,
Guyana,20 September 1966,,
Haiti,24 October 1945,,
Honduras,17 December 1945,,
Hungary,14 December 1955,,
Iceland,19 November 1946,,
India,30 October 1945,,India and the United Nations
Indonesia,28 September 1950[o],,Withdrawal of Indonesia (1965–1966) and Indonesia and the United Nations
Islamic Republic of Iran[p],24 October 1945,,
Iraq,21 December 1945,,
Ireland,14 December 1955,,
Israel,11 May 1949,,Israel and the United Nations
Italy,14 December 1955,,
Jamaica,18 September 1962,,
Japan,18 December 1956,,Japan and the United Nations
Jordan,14 December 1955,,
Kazakhstan[q],2 March 1992,,Former member: Union of Soviet Socialist Republics (original member)
Kenya,16 December 1963,,
